Date,Salesperson,Customer Name,Car Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned
01-08-2022,Monica Moore MD,Mary Butler,Nissan,Altima,2018,15983,0.070495228,1126.73
15-03-2023,Roberto Rose,Richard Pierce,Nissan,F-150,2016,38474,0.134438837,5172.4
29-04-2023,Ashley Ramos,Sandra Moore,Ford,Civic,2016,33340,0.114535922,3818.63
04-09-2022,Patrick Harris,Johnny Scott,Ford,Altima,2013,41937,0.092190722,3866.2
16-06-2022,Eric Lopez,Vanessa Jones,Honda,Silverado,2022,20256,0.113489793,2298.85
18-12-2022,Terry Perkins MD,John Olsen,Ford,Altima,2015,14769,0.077246935,1140.86
12-06-2022,Ashley Brown,Tyler Lawson,Honda,F-150,2013,41397,0.14278012,5910.67
20-06-2022,Norma Watkins,Michael Bond,Ford,Altima,2015,46233,0.071623758,3311.38
02-09-2022,Scott Parker,Stephanie Smith,Ford,Corolla,2021,27337,0.099503651,2720.13
06-04-2023,Andrew Smith,Ashley Moreno DDS,Ford,Civic,2018,16309,0.149925782,2445.14
12-03-2023,Harold Nelson,Isaac Patton,Honda,Silverado,2021,41259,0.09254116,3818.16
29-01-2023,Richard Richardson,Justin Gray,Toyota,Silverado,2022,48224,0.090592146,4368.72
29-05-2022,Mia Acosta,Rebecca Best,Ford,Altima,2017,36409,0.122348852,4454.6
12-08-2022,Lisa Campbell,Lisa Anderson,Toyota,F-150,2011,29628,0.112326294,3328
06-04-2023,Carrie Howard,Rodney Black,Chevrolet,Altima,2021,10313,0.103874895,1071.26
21-12-2022,James Velasquez,Natalie Thompson,Honda,Corolla,2016,36607,0.055250978,2022.57
12-08-2022,Kristin Holmes,Michael Hill,Nissan,Altima,2010,39916,0.052007775,2075.94
23-08-2022,Amy Solomon,Taylor Moore,Nissan,Silverado,2018,18482,0.086185324,1592.88
18-10-2022,William Williams,Jordan Taylor,Toyota,Civic,2013,17158,0.127227796,2182.97
09-03-2023,Patricia Reynolds,Alison Walker,Ford,Altima,2014,28796,0.093451209,2691.02
28-09-2022,Michelle Gonzalez,Juan Davies,Ford,Corolla,2014,24128,0.084780882,2045.59
20-12-2022,Jennifer Morris,Kristin Robinson,Toyota,Civic,2011,36895,0.128288109,4733.19
26-07-2022,Jeremiah Thompson,Clifford Evans,Nissan,Altima,2013,16797,0.144237331,2422.75
18-07-2022,Matthew White,Nancy Martinez,Chevrolet,Altima,2020,30184,0.136991193,4134.94
19-12-2022,Jason Riley,Ruben Gomez,Nissan,Civic,2010,41587,0.084404408,3510.13
15-02-2023,Faith Pierce,Jimmy Dunn,Honda,Silverado,2016,35279,0.063399664,2236.68
23-06-2022,Samuel Brown,David Wagner,Chevrolet,F-150,2016,33502,0.122923326,4118.18
14-07-2022,Amber Cooper,Claire Day,Nissan,F-150,2018,30296,0.100170363,3034.76
17-07-2022,Paul Potter,Corey West,Honda,Corolla,2018,28406,0.085246638,2421.52
11-12-2022,Jason Cabrera,Rebecca Hansen,Chevrolet,F-150,2012,20725,0.145073441,3006.65
18-07-2022,Brenda Morales,Jason Hahn,Ford,Altima,2011,23330,0.068980756,1609.32
13-05-2022,Christian Williams,Jerry Baker,Chevrolet,Silverado,2019,41216,0.12869098,5304.13
05-09-2022,Stephanie Trujillo,April Morales,Ford,Silverado,2022,43188,0.099220141,4285.12
30-12-2022,Shawn Cummings,Kelly Beasley,Chevrolet,Altima,2013,15064,0.053381651,804.14
02-07-2022,Lacey Cooper,Jennifer Brown,Toyota,Altima,2015,36019,0.098335927,3541.96
04-02-2023,Jennifer Stevens MD,Brittany Gonzales,Chevrolet,Civic,2019,23249,0.141622041,3292.57
08-10-2022,Kristen Becker,Ryan Medina,Nissan,Civic,2016,38278,0.056340279,2156.59
24-01-2023,Julie Aguirre,Timothy Mccoy,Nissan,Silverado,2018,38307,0.07953119,3046.6
15-04-2023,Victor Murillo,Matthew Anderson,Chevrolet,Corolla,2015,36834,0.080895726,2979.71
10-08-2022,Nicole Williams,Richard Wolf,Ford,Civic,2012,31941,0.102854838,3285.29
25-05-2022,Heather Davidson,Rachel Madden,Honda,Civic,2011,17997,0.062692864,1128.28
